,_id,NOME_DA_CACHAÇA,PREÇO,VOLUME,DESCRIÇÃO_DA_CACHAÇA,GRADUAÇÃO_ALCOÓLICA,PREMIOS,ANÁLISE_SENSORIAL,DATA_COLETA,LINK
0,60d624539dd84b3af8dbb310,Cachaça Companheira Extra Premium Carvalho,"R$100,00",670 ml.,"Cachaça Companheira Extra Premium Carvalho, a cachaça agradável, com notas suaves de baunilha, envelhecida 4 anos em barril de carvalho americano e finalizada em barris de carvalho francês de primeiro uso.
Novo Rótulo 2021.
Carcaterísticas:
670 ml.
40% em volume.
Envelhecida 4 anos em barril de carvalho.
Sobre a Produção da Cachaça Companheira Extra Premium Carvalho:
Elaborada por um processo único de destilação padronizada, em Jandaia do Sul, região do Vale do Rio Ivaí, no norte do Paraná.
A cana-de-açúcar, sua matéria prima, tem o cultivo totalmente manual, desde o plantio até a colheita, em uma região onde a água e terras boas, combinadas com clima favorável, proporciona um incremento maior na excelência de sua qualidade.
As Garrafas Especiais são Produzidas Artesanalmente, feitas uma a uma, com vidro 100% reciclado, que contribui para a preservação do meio ambiente em uma das cristaleiras mais tradicionais do estado do Paraná, com formato exclusivo e assinatura personalizada da Companheira no verso tornando cada garrafa uma peça única.


",40% em volume.,"• Medalha de Ouro no Concurso Mundial de Bruxelas, Spirits Selection 2018 , realizado em Plovdiv, na Bulgaria.
• Medalha de prata no Concurso Mundial de Bruxelas 2016 (Spirits Sellection 2016), realizado na cidade de Tequila, no México.
• Medalha de prata no Concurso de Degustação às Cegas, na Expocachaça 2014, em Belo Horizonte – MG.
• Medalha de ouro no Concurso de Degustação às Cegas 2013, realizado durante a Expocachaça Dose Dupla no Mercado Municipal de São Paulo.
","Coloração: amarelo dourado e límpida.
Aroma: adocicados frutado (guaraná) e amadeirados (caramelo).
Gostos: doce, ameixa, baunilha.
Sensação: aveludada.
Retrogosto: agradável e moderado-caramelo.

",23/06/2021 18:00,https://cachacacompanheira.com.br/produto/cachaca-companheira-extra-premium-carvalho/
1,60d624539dd84b3af8dbb311,Cachaça Companheira 48%,"R$39,00",600 ml.,"Cachaça Companheira 48% em volume, 100% Companheira.
Uma Cachaça Prata, sem contato com madeira, 100% pura, com sabor suave da cana e aroma delicado, própria para paladares exigentes que apreciam uma ótima cachaça com a graduação alcoólica acima da média!
Apenas o coração da Cachaça Prata que você já conhece, com uma graduação no limite do Brasil!
A cachaça Companheira é produzida com cana selecionada, com alto teor de açúcar, com colheita feita de forma manual, sem queima, e somente no período do inverno.
A partir do caldo da cana é preparado o mosto, que é fermentado por leveduras autóctones.
A destilação é feita num destilador projetado pelo próprio Bonicontro.
600 ml.
48% em volume.
Armazenada em Tonéis de Aço Inox.

",48% em volume.,,,23/06/2021 18:00,https://cachacacompanheira.com.br/produto/cachaca-companheira-48/
2,60d624549dd84b3af8dbb312,Cachaça Companheira Gatinha,"R$43,00",600 ml.,"Um extraordinário blend de madeiras, o encontro perfeito entre o carvalho do velho mundo e o que há de melhor no brasil.
A cachaça Companheira Gatinha é produzida com cana selecionada, com alto teor de açúcar, com colheita feita de forma manual, sem queima, e somente no período do inverno.
A partir do caldo da cana é preparado o mosto, que é fermentado por leveduras autóctones. A destilação é feita num destilador projetado pelo próprio Bonicontro.
O Blend de Madeiras é Composto por: Cachaça Envelhecida em Barris de Carvalho (Americano e Europeu) com Cachaça Armazenada em Tonéis de Imburana e Cachaça Prata Armazenada em Tonéis de Aço Inox.
A Companheira Gatinha é o que há de excelência quando o assunto é blend de madeiras.
600 ml.
40% em volume.
Blend de Maderias: Cachaça Envelhecida em Barris de Carvalho (Americano e Europeu) com Cachaça Armazenada em Tonéis de Imburana e Cachaça Prata Armazenada em Tonéis de Aço Inox.
Tampa de rolha sintética que facilita a abertura e garante a qualidade no armazenamento.
Análise Sensorial por Felipe Jannuzzi – Mapa da Cachaça: A Gatinha apresenta vários aromas e sabores ao longo da degustação.
O que aparece no início é a cana, com o vegetal típico da cachaça prata, seguido dos carvalhos, com baunilha e caramelo, e no final fica o adocicado da amburana. Nesse blend, a amburana é coadjuvante, ajudando a dar cor, corpo, equilíbrio e excentricidade ao tradicional carvalho, madeira que aparece em maior destaque nessa gostosa combinação.
",40% em volume.,"• Medalha de Prata na Cacharitiba 2019.
• Medalha de Ouro na Expocachaça 2018.
",,23/06/2021 18:00,https://cachacacompanheira.com.br/produto/companheira-gatinha/
3,60d624549dd84b3af8dbb313,Cachaça Companheira Imburana Exportação,"R$63,00",50o ml.,"Companheira Imburana Exportação, a cachaça com o sabor e o aroma amadeirados da imburana agregados a alma e a essência da cana. Novo Rótulo.
A Companheira Imburana, é sem dúvidas a queridinha de muitos apreciadores. Com sabor amadeirado e adocicado, muito agradável e macia.
Pode ser servida bem geladinha, ou na temperatura ideal a 18ºC, é uma cachaça que pela suavidade, agrada inclusive as mulheres.
Já ganhou diversos prêmios no Brasil e no exterior:
Armazenada por 2 anos em tonéis de imburana, também conhecida por amburana ou umburana, dependendo da região, a famosa cerejeira. Uma madeira nobre que já foi muito utilizada na fabricação de móveis finos e na medicina natural do sertão nordestino. Sem dúvida vale a pena provar!
50o ml.
40% em volume.
Armazenada 2 anos em tonéis de imburana.
",40% em volume.,"• Medalha de prata no Concurso Mundial de Bruxelas – Edição Brasil 2018.
• Medalha de bronze –  Expocachaça 216 – Belo Horizonte-MG.
• Medalha de prata no Concours Mondial de Bruxelles – Spirits Selection Brasil 2015.
• Medalha de prata no Concurso de Degustação às Cegas 2014, realizado durante a Expocachaça , em Belo Horizonte, Minas Gerais, Brasil.
• Medalha de bronze no Concurso de Degustação às Cegas 2013, realizado durante a Expocachaça Dose Dupla, no Mercado Municipal de São Paulo.
",,23/06/2021 18:01,https://cachacacompanheira.com.br/produto/companheira-imburana-exportacao/
4,60d624549dd84b3af8dbb314,Cachaça Companheira Extra Premium,"R$350,00",700 ml.,"Cachaça Companheira Extra Premium
A cachaça de sabor inigualável, envelhecida 8 anos em barril de carvalho.
Eleita a Melhor Cachaça Extra Premium do Brasil . A Cachaça do Ano!
Envelhecida 8 anos em barril de carvalho.
700 ml.
[tipo de ícone = “ícone-termômetro”] 40% em volume.
[tipo de ícone = “caixa de ícone”] Acompanha Caixa.
Cachaça Companheira Extra Premium
Confira a matérias sobre a Premiação da Cúpula da Cachaça.
A Cachaça do Ano!

",,"•   1º lugar no IV Ranking da Cúpula da Cachaça 2020 – Categoria Premium/Extra Premium. Também recebeu o título de Cachaça do Ano, por ter atingido a maior pontuação entre todas as 50 amostras (90,63 pontos).
Duplo Ouro no Concurso Mundial de Bruxelas – Edição Brasil 2018.
3º lugar no III Ranking 2018 da Cúpula da Cachaça.
• Gran Ouro no Concurso Mundial de Bruxelas – Edição Brasil 2016.
• Medalha de ouro no Concurso Mundial de Bruxelas 2016 (Spirits Sellection 2016), realizado na cidade de Tequila, no México.
São mais de 10 premiações nos maiores concursos de destilados do Brasil e exterior.  Confira
",,23/06/2021 18:01,https://cachacacompanheira.com.br/produto/companheira-extra-premium/
5,60d624549dd84b3af8dbb319,Cachaça Companheira Castanheira,"R$81,00",,"Uma cachaça com coloração amarelo palha, textura aveludada, levemente adocicada, trazendo a presença de notas suaves de castanhas e frutas frescas. Perfeita para momentos especiais.
• 670 ml.
• 40% em volume.
• Armazenada em tonéis de castanheira.
Venda proibida para menores de 18 anos.
",,,,23/06/2021 18:01,https://cachacacompanheira.com.br/produto/companheira-castanheira/
6,60d624549dd84b3af8dbb31a,Cachaça Companheira Imburana,"R$89,00",670 ml.,"A cachaça com o sabor e o aroma amadeirados da imburana agregados a alma e a essência da cana.
A Companheira Imburana, é sem dúvidas a queridinha de muitos apreciadores. Com sabor amadeirado e adocicado, muito agradável e macia.
Pode ser servida bem geladinha, ou na temperatura ideal a 18ºC, é uma cachaça que pela suavidade, agrada inclusive as mulheres.
Já ganhou diversos prêmios no Brasil e no exterior:
Armazenada por 2 anos em tonéis de imburana, também conhecida por amburana ou umburana, dependendo da região, a famosa cerejeira. Uma madeira nobre que já foi muito utilizada na fabricação de móveis finos e na medicina natural do sertão nordestino. Sem dúvida vale a pena provar!
670 ml.
40% em volume.
Armazenada 2 anos em tonéis de imburana.
",40% em volume.,"• Medalha de prata no Concurso Mundial de Bruxelas – Edição Brasil 2018.
• Medalha de bronze –  Expocachaça 216 – Belo Horizonte-MG.
• Medalha de prata no Concours Mondial de Bruxelles – Spirits Selection Brasil 2015.
• Medalha de prata no Concurso de Degustação às Cegas 2014, realizado durante a Expocachaça , em Belo Horizonte, Minas Gerais, Brasil.
• Medalha de bronze no Concurso de Degustação às Cegas 2013, realizado durante a Expocachaça Dose Dupla, no Mercado Municipal de São Paulo.
",,23/06/2021 18:02,https://cachacacompanheira.com.br/produto/cachaca-companheira-imburana/
7,60d624559dd84b3af8dbb31b,Cachaça Companheira Prata,"R$67,00",,"A cachaça de aroma delicado e sabor suave, própria para paladares exigentes.
670 ml.
 40% em volume.
 Armazenada em tonéis de inox.
","670 ml.
 40% em volume.
 Armazenada em tonéis de inox.","• Medalha de prata no Concurso de Degustação às Cegas 2014, realizado durante a Expocachaça, em Belo Horizonte – MG.
• Medalha de bronze no Concurso de Degustação às Cegas 2012, realizado durante a Expocachaça Dose Dupla no Mercado Municipal de São Paulo.
",,23/06/2021 18:02,https://cachacacompanheira.com.br/produto/cachaca-companheira-prata/
8,60d624569dd84b3af8dbb31c,Cachaça Companheira Castanheira Exportação,"R$60,00",,"Uma cachaça com coloração amarelo palha, textura aveludada, levemente adocicada, trazendo a presença de notas suaves de castanhas e frutas frescas. Perfeita para momentos especiais.
• 500ml.
• 40% em volume.
• Armazenada em tonéis de castanheira.
Venda proibida para menores de 18 anos.
",,,,23/06/2021 18:02,https://cachacacompanheira.com.br/produto/companheira-castanheira-exportacao/
9,60d624569dd84b3af8dbb31d,Cachaça Companheira Extra Premium Carvalho Exportação,"R$78,00",500 ml.,"A cachaça agradável, com notas suaves de baunilha, envelhecida 4 anos em barril de carvalho americano e finalizada em barris de carvalho francês de primeiro uso.
500 ml.
40% em volume.
Envelhecida 4 anos em barril de carvalho.
Sobre a Produção:
Elaborada por um processo único de destilação padronizada, em Jandaia do Sul, região do Vale do Rio Ivaí, no norte do Paraná.
A cana-de-açúcar, sua matéria prima, tem o cultivo totalmente manual, desde o plantio até a colheita, em uma região onde a água e terras boas, combinadas com clima favorável, proporciona um incremento maior na excelência de sua qualidade.
As Garrafas Especiais são Produzidas Artesanalmente, feitas uma a uma, com vidro 100% reciclado, que contribui para a preservação do meio ambiente em uma das cristaleiras mais tradicionais do estado do Paraná, com formato exclusivo e assinatura personalizada da Companheira no verso tornando cada garrafa uma peça única.
Análise Sensorial
",40% em volume.,"• Medalha de Ouro no Concurso Mundial de Bruxelas, Spirits Selection 2018 , realizado em Plovdiv, na Bulgaria.
• Medalha de prata no Concurso Mundial de Bruxelas 2016 (Spirits Sellection 2016), realizado na cidade de Tequila, no México.
• Medalha de prata no Concurso de Degustação às Cegas, na Expocachaça 2014, em Belo Horizonte – MG.
• Medalha de ouro no Concurso de Degustação às Cegas 2013, realizado durante a Expocachaça Dose Dupla no Mercado Municipal de São Paulo.
","Coloração: amarelo dourado e límpida.
Aroma: adocicados frutado (guaraná) e amadeirados (caramelo).
Gostos: doce, ameixa, baunilha.
Sensação: aveludada.
Retrogosto: agradável e moderado-caramelo.
",23/06/2021 18:02,https://cachacacompanheira.com.br/produto/companheira-extra-premium-carvalho-exportacao/
10,60d624569dd84b3af8dbb31e,Cachaça Companheira Prata Exportação,"R$49,00",,"A cachaça de aroma delicado e sabor suave, própria para paladares exigentes.
Premiações:
• Medalha de prata no Concurso de Degustação às Cegas 2014, realizado durante a Expocachaça, em Belo Horizonte – MG.
• Medalha de bronze no Concurso de Degustação às Cegas 2012, realizado durante a Expocachaça Dose Dupla no Mercado Municipal de São Paulo.
• 500 ml – Linha Exportação.
• 40% em volume.
• Armazenada em tonéis de inox.
Venda proibida para menores de 18 anos
",,,,23/06/2021 18:02,https://cachacacompanheira.com.br/produto/companheira-prata-exportacao/
11,60d624569dd84b3af8dbb31f,Companheira de Bolso Extra Premium Carvalho 4 Anos,"R$30,00",150 ml.,"Medalha de Ouro no Concurso Mundial de Bruxelas, Spirits Selection 2018 , realizado em Plovdiv, na Bulgaria.
Medalha de prata no Concurso Mundial de Bruxelas 2016 (Spirits Sellection 2016), realizado na cidade de Tequila, no México.
Medalha de prata no Concurso de Degustação às Cegas, na Expocachaça 2014, em Belo Horizonte – MG.
Medalha de ouro no Concurso de Degustação às Cegas 2013, realizado durante a Expocachaça Dose Dupla no Mercado Municipal de São Paulo.
150 ml.
40% em volume.
Envelhecida 4 anos em barril de carvalho.
A cachaça agradável, com notas suaves de baunilha, envelhecida 4 anos em barril de carvalho.
",40% em volume.,,,23/06/2021 18:03,https://cachacacompanheira.com.br/produto/companheira-extra-premium-carvalho-4-anos/
12,60d624569dd84b3af8dbb320,Companheira de Bolso Prata,"R$28,00",150 ml.,"150 ml.
40% em volume.
Envelhecida 4 anos em barril de carvalho.
Cachaça Companheira Prata de Bolso – A cachaça de aroma delicado e sabor suave, própria para paladares exigentes.
",40% em volume.,"Medalha de prata no Concurso de Degustação às Cegas 2014, realizado durante a Expocachaça, em Belo Horizonte, Minas Gerais, Brasil.
Medalha de bronze no Concurso de Degustação às Cegas 2012, realizado durante a Expocachaça Dose Dupla no Mercado Municipal de São Paulo.
",,23/06/2021 18:03,https://cachacacompanheira.com.br/produto/cachaca-companheira-prata-de-bolso/
